"NAF","HS4","weight"
"2211Z",4013,0.0035
"2219Z",4008,0.0691
"2219Z",4005,0.1697
"2219Z",5906,0.0112
"2219Z",4014,0.0409
"2219Z",6406,0.0289
"2219Z",4003,0.0021
"2219Z",4006,0.0277
"2219Z",4010,0.0759
"2219Z",4016,0.4509
"2219Z",4015,0.0213
"2219Z",4017,0.003
"2219Z",4009,0.0985
"2219Z",4007,0.0009
"2221Z",3916,0.0293
"2221Z",3921,0.2802
"2221Z",3917,0.2451
"2221Z",3920,0.4453
"2222Z",3923,1
"2223Z",5904,0.0054
"2223Z",3922,0.0941
"2223Z",3918,0.4542
"2223Z",3925,0.4464
"2229B",9405,0.1683
"2229B",3924,0.0571
"2229B",3919,0.1431
"2229B",6506,0.0384
"2229B",9615,0.0043
"2229B",3926,0.5733
